id,word,definition,audio
2831,tangsû,"n. metal, copper (mengangsu-corroded, faded gold)",https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/T/TANGSO.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL1QvVEFOR1NPLm1wMyIsImlhdCI6MTc1NDgzODc0NSwiZXhwIjoyMTMzMjcwNzQ1fQ.SdKcDfJUAGWiWY355zDjP3IRvoSscxLfgTK0rdVkVSU
2832,tangtang,n. a tree cut down little by little,https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/T/TANGTANG.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL1QvVEFOR1RBTkcubXAzIiwiaWF0IjoxNzU0ODM4NzUyLCJleHAiOjIxMzMyNzA3NTJ9.4ySHyJOQQh9gWIApMO9BZwI-25dIo_mI_sMbNiUNYWE
2833,tangû,"n. consent, agreement with the nodding of the head",https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/T/TANGO.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL1QvVEFOR08ubXAzIiwiaWF0IjoxNzU0ODM4NzU4LCJleHAiOjIxMzMyNzA3NTh9.u1Z2Fsv262yhmvoI1EqbLCrvX0x4JKrwm4LHMyVGQN4
2834,tanikálâ,see talikálâ,
2835,táning,"n. lease of time, time limit",
2836,tánsán,"(Jpn tansan) n. the metal cap or crown of a bottle of soda drink; syn. patulapit; cf. takap, sumpal",
2837,tantú,"n. intention, vow, promise, resolution",https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/T/TANTU.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL1QvVEFOVFUubXAzIiwiaWF0IjoxNzU0ODM4NzY3LCJleHAiOjIxMzMyNzA3Njd9.WPvQHZiuaZOA0D55MVysDtHl9Tdb9G88bAeMUO_rgi0
2838,tantya,"[Sp] n. estimate, calculation",
2839,tánud,v. to stand and watch,
2840,tanyag,adj. famous (bantug-syn),
2841,tapâ,n. a piece of broken glass with splinters,https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/T/TAPA_1.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL1QvVEFQQV8xLm1wMyIsImlhdCI6MTc1NDgzODkyNiwiZXhwIjoyMTMzMjcwOTI2fQ.J7X6hIYtpakBzBLnKoRhPskxwXTqRVO9-DdjV4xVyMo
2842,tápa,"n. meat or fish marinated with salt and vinegar; 2 n. preserved meat; cf. pindang, burung bábî, [Sp] tusinu",https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/T/TAPA_2.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL1QvVEFQQV8yLm1wMyIsImlhdCI6MTc1NDgzODkzMywiZXhwIjoyMTMzMjcwOTMzfQ.hUVf3444eT9hHiqQdSfYJm5PE8lM43WaQjIc2NeVXew
2843,tapak,"n. a small rowing barge, walking barefoot",https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/T/TAPAC_1.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL1QvVEFQQUNfMS5tcDMiLCJpYXQiOjE3NTQ4Mzg5NDUsImV4cCI6MjEzMzI3MDk0NX0.FDBi_WxaMMZgxK6qJTT3QwEHWVXyuZg8gqslV8Sk0xI
2844,tápal,"n. a patch, a plaster on a wound",https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/T/TAPAL.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL1QvVEFQQUwubXAzIiwiaWF0IjoxNzU0ODM4OTUxLCJleHAiOjIxMzMyNzA5NTF9.dpIqTYK3amJ0_xdKq9ce_TLQop8Koo8r1QAlw8Tpx28
2845,tapalódu,n. side fender [Sp],
2846,tápang,"n. bravery, valor, courage",https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/T/TAPANG.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL1QvVEFQQU5HLm1wMyIsImlhdCI6MTc1NDgzODk2MSwiZXhwIjoyMTMzMjcwOTYxfQ.mvAPDFpEQEMh2AYP-jShy6X3Yt1we1Bh72JQMOvgChE
2847,tapángku,"[Nah] n. awning, high ledge; awning over a window or entrance; var. tepángku",
2848,tápas,"v. to trim, to prune",https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/T/TAPAS.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL1QvVEFQQVMubXAzIiwiaWF0IjoxNzU0ODM4OTY4LCJleHAiOjIxMzMyNzA5Njh9.l3rhz0tG5Rxfj6BF5YBvgQ0wqvUMYE0LPtpi185XKv0
2849,tapat,"adj. faithful, loyal, sincere, exact",https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/T/TAPAT.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL1QvVEFQQVQubXAzIiwiaWF0IjoxNzU0ODM4OTczLCJleHAiOjIxMzMyNzA5NzN9.78IMY_MOClf9EAovWihj238YZRm-XgpiwlNSKn0CGHs
2850,tapáyan,n. a large earthen jar; cf. guguling,https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/T/TAPAYAN.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL1QvVEFQQVlBTi5tcDMiLCJpYXQiOjE3NTQ4Mzg5ODAsImV4cCI6MjEzMzI3MDk4MH0.qjee1-UKr9SF7GC7wbIvepvlON1FpeTOMJ6_bqcjCp8
2851,tapéti,var. tapéte n. a table covering,
2852,tapî,"n. fatty membrance covering the intestines, stomach, kidney...",
2853,tapik,"n. a light tap, on someone's shoulder or side",
2854,tapioka,see kamuting dutung,
2855,tápis,"n. an apron, an upper petticoat outer garment like a sarong",https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/T/TAPIS.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL1QvVEFQSVMubXAzIiwiaWF0IjoxNzU0ODM5MTA3LCJleHAiOjIxMzMyNzExMDd9.wIA52NiYpNwdxTym5HfPxNN4GY73pocfQQxMqvUkrl8
2856,tapitapi,n. half a tapis down to the knees,https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/T/TAPITAPI.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL1QvVEFQSVRBUEkubXAzIiwiaWF0IjoxNzU0ODM5MTI0LCJleHAiOjIxMzMyNzExMjR9.1xsRb7rtaSBZs5i96Aj7E46YQH0hHdrPPbsioE8HX_Y
2857,tapius,adj. a thing cut obliquely and bluntly,
2858,tápuk,n. group or section of people; see umpuk,https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/T/TAPOC.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL1QvVEFQT0MubXAzIiwiaWF0IjoxNzU0ODM5MTI5LCJleHAiOjIxMzMyNzExMjl9.MrXF9i3YrhcBDVfJ6fG4MWTHB5vZATZ0pAlsgjgGdRA
2859,tapun,"n. cork, a bottle stopper, the bark of a cork tree",https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/T/TAPUN.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL1QvVEFQVU4ubXAzIiwiaWF0IjoxNzU0ODM5MTM0LCJleHAiOjIxMzMyNzExMzR9.N_pICXAQuxmcuGjL9viuaAQqvvJ2nyxNsBPiSQtmB3g
2860,tapung,"n. uncooked soaked ground rice, moist rice flour used for making cakes and bobotu; syn. galapung",https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/T/TAPONG.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL1QvVEFQT05HLm1wMyIsImlhdCI6MTc1NDgzOTE0MywiZXhwIjoyMTMzMjcxMTQzfQ.mXULsHAbAr8LKHdpO8CGmAd44BbE8Rej2MFNKlAPNMs
2861,tapyas,"n. bevel, sloping edge of a table or frame",
2862,tara,"intj. an invitation to go, ""let's go""",https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/T/TARA.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL1QvVEFSQS5tcDMiLCJpYXQiOjE3NTQ4MzkxNjksImV4cCI6MjEzMzI3MTE2OX0.a8dW1x8Aa2QfpYdSfoV6MFgKgm1ynbrQx5-Tg2MjbSk
2863,tárak,"n. takes sunk into the ground, to sink the head of a spear",https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/T/TARAC.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL1QvVEFSQUMubXAzIiwiaWF0IjoxNzU0ODM5MTc2LCJleHAiOjIxMzMyNzExNzZ9.GMFji05pVvfNSNX0pu2PVx2LXRhW-XGafz63Si_V57M
2864,taram,"n. the cutting edge of a knife, or tool, or sword",https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/T/TARAM.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL1QvVEFSQU0ubXAzIiwiaWF0IjoxNzU0ODM5MTg1LCJleHAiOjIxMzMyNzExODV9.X_5xzJi-cHXJS402TjlxGM2WcbpRpClSoXLfozCfIdQ
2865,taramindu,"n. ripe tamarind (Tamarindus indica L.); see malasebu, sampaluk",
2866,taranátî,"[Sp] n. Averrhoa carambola, a species of tree in the family Oxalidaceae; syn. balimbing",
2867,tarangka,[Sp] n. the bar across a door or window [Sp],
2868,taranta,"adj. confused, panicky; syn balisa",
2869,tarantádu,"[Sp] adj. foolish, silly, shameless",
2870,tarantéla,"[Sp] n. a dance (It) with 6/8 time; cf. terak, indak, sapatya",
2871,tarapal,"[Sp] n. tarpaulin, canvas used for tents",
2872,taras,n. aggressive attitude of a bad-tempered woman,
2873,tarat,"n. a migratory bird that young boys love to catch; cf. dena, pugu, pati-pati",https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/T/TARAT.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL1QvVEFSQVQubXAzIiwiaWF0IjoxNzU0ODM5MjExLCJleHAiOjIxMzMyNzEyMTF9.0cpi5_MT1dLifPoGMXjuv6Gby_I_bxHGz40m_5puG8A
2874,tarebalak,"n. Lampropholis guichenoti (A.M.C. Duméril & Bibron, 1839), a skink, a species of small field lizard; syn. timbabalak",
2875,Tariji,"n. a barangay in Tarlac City, Tarlac",
2876,tarik,"adj. sleep, lofty, sharpness",
2877,tarípa,"n. tariff, a system of duties or taxes",
2878,Tarlac,n. a city in the province of Tarlac,
2879,tarlak,n. a species of sugar cane; cf. dikut,
2880,tarling,n. a high-pitched voice,
2881,tartanílya,[Sp] n. a horse-drawn two-wheeled carriage,
2882,tarû,"v. to mock, to sneer",https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/T/TARO.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL1QvVEFSTy5tcDMiLCJpYXQiOjE3NTQ4MzkyMjMsImV4cCI6MjEzMzI3MTIyM30.XJT0fb2zUveNx5TyfSUOdL_01SNXFs4st19Z9vtb01s
2883,taruk,v. to fathom,https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/T/TAROC.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL1QvVEFST0MubXAzIiwiaWF0IjoxNzU0ODM5MjMzLCJleHAiOjIxMzMyNzEyMzN9.JdPFW3y4gYO_wlG1c41APyTQkfy2XOmwYCjjMFIgzJ8
2884,tas,v. to rise above,https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/T/TAS.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL1QvVEFTLm1wMyIsImlhdCI6MTc1NDgzOTIzOSwiZXhwIjoyMTMzMjcxMjM5fQ.v1iXCKRISCvASwgbvrhjuvwwaRh6DHD6Jin_p0FgZ4Y
2885,tasa,"1 n. a cup with a holder; 2 v. to calculate, to assess; 3 v. to limit to control (like food, supplies, etc.); 4 n. a sharpened point of a pencil",
2886,tásak,n. a wooden peg or pole used for raising a window,
2887,tásîk,"n. lye, a bleaching fluid; brine",https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/T/TASIC.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL1QvVEFTSUMubXAzIiwiaWF0IjoxNzU0ODM5MjQ3LCJleHAiOjIxMzMyNzEyNDd9.5DeKmSR520kd7cnfFbdFmqYj4hh5Wil3tV59VdETth8
2888,tastas,"v. to rip, to unseam a cloth",https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/T/TASTAS.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL1QvVEFTVEFTLm1wMyIsImlhdCI6MTc1NDgzOTI1NCwiZXhwIjoyMTMzMjcxMjU0fQ.9pcQlL5zH5PAvkuNhq-0UAF6UgtvZx0D8SKsOt3No-M
2889,táta,"n. farther, syn. tatang, ibpa",https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/T/TATA.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL1QvVEFUQS5tcDMiLCJpYXQiOjE3NTQ4MzkyNjYsImV4cCI6MjEzMzI3MTI2Nn0.hhhkEVokkaUCwbIw_KfcUVuA_FR9yJBKCOYLd4GWERA
2890,tátad,n. a grub that gnaws on the core of palms and coconut trees,https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/T/TATAD.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL1QvVEFUQUQubXAzIiwiaWF0IjoxNzU0ODM5Mjc1LCJleHAiOjIxMzMyNzEyNzV9.41dL9LSHF7fWRI6CuIl5aK3X7ySomoa7HL3wiA5THIo
2891,tatag,"n. firmness of a person, not swayed or bent",https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/T/TATAG_2.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL1QvVEFUQUdfMi5tcDMiLCJpYXQiOjE3NTQ4MzkyODksImV4cCI6MjEzMzI3MTI4OX0.nA47WW5BUajW91jHFH8rCQUyUvwTfHbsKaloyLViXhM
2892,tatak,"v. to enact laws, or groups",https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/T/TATAC.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL1QvVEFUQUMubXAzIiwiaWF0IjoxNzU0ODM5Mjk1LCJleHAiOjIxMzMyNzEyOTV9.hx-GZCF3N4loRfJnXvtzI63er5-kexhj3ymfOytoPlc
2893,tatal,"n. chips, splinters, shred of wood; cf. tapa",https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/T/TATAL.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL1QvVEFUQUwubXAzIiwiaWF0IjoxNzU0ODM5MzA2LCJleHAiOjIxMzMyNzEzMDZ9.o2YCcvSx7qErRAid5qwU3Yw5gY4B0MQ1mrCniSIPfv0
2894,tátang,"[Nah] n. father, a child's endearing address to his father",
2895,tatsâ,"n. defect, fault, imperfection",
2896,tatsû,n. a big copper or bronze deep cooking pan with 2 ear-like handles,
2897,tátû,"n. a simpleton, a person easily swayed by goading",
2898,tátyo,"n. a rooster, a cock",
2899,tau,"1 n. a man, a person; 2 taúwan, follower, subordinate, worker; syn. bataan; 3 v. to light a fire; 4 n. banquet, a fiesta celebration",
2900,taugé,"var. toge, tawge n. bean sprouts, monggo sprouts",
2901,tausi,"tausi, tawsi n. salted soybeans; fermented black beans",
2902,tauté,var. tawte v. to buy or sell by retail,
2903,taúwan,"var. tau n. personnel, followers, members of a crew; syn. bataan; see tau",
2904,tawâd,"n. a plea or petition, to ask for rebate",
2905,táwas,"n. alum, alum stone used for deodorant",https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/T/TAUAS.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL1QvVEFVQVMubXAzIiwiaWF0IjoxNzU0ODM5MzE3LCJleHAiOjIxMzMyNzEzMTd9.c1Z7GkzwFRV9CEVOEPziyo2dOBfj4x3wzAr_XL5rSHI
2906,tawilis,"n. a fish species, Harengula tawilis Herre; makes the best tuyu",
2907,tawli,"v. remaining behind, lag behind, come late",
2908,tayâ,v. to expose to danger,
2909,táyag,"v. to raise, to life from the floor",https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/T/TAYAG.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL1QvVEFZQUcubXAzIiwiaWF0IjoxNzU0ODM5MzM5LCJleHAiOjIxMzMyNzEzMzl9.NzcuVlhrJA-JsfRS4ARPvBgj1aE697vDDceYTxxUl0E
2910,tayî,v. to expose to danger,https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/T/TAYI.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL1QvVEFZSS5tcDMiLCJpYXQiOjE3NTQ4MzkzNDUsImV4cCI6MjEzMzI3MTM0NX0.9M8aiOrA040HeNe6tj1pP9DyDPmwccm8y9LKShb0xSQ
2911,taysan,taisin n. a stone for whetting edge tools,
2912,tayum,"n. indigo plant, from which blue dye is produced",https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/T/TAYOM.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL1QvVEFZT00ubXAzIiwiaWF0IjoxNzU0ODM5MzUxLCJleHAiOjIxMzMyNzEzNTF9.DtIz5ott-ilFN7RoGlE1j1jH9QOMhSDaypraYrjdyYI
2913,té,"intj. short cut for ta ya ""you"" or ""us""",
2914,tégáwan,"n. sponsor, godparent; var. téwángan; syn. ninung",
2915,tejadang kamatis,n. Atching Lillian Borromeo's special candied tomatoes,
2916,téla,"n. fabric, clothing material",https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/T/TELA.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL1QvVEVMQS5tcDMiLCJpYXQiOjE3NTQ4MzkzNTcsImV4cCI6MjEzMzI3MTM1N30._MyR_Vy-OuOeRxNqPIilj36gzmiEWg1UUL3oo7w8JvM
2917,télabanua,n. roof of the mouth,
2918,telatag,"n. clause; syn. talatag, [Tg] sugne; cf. talatad, telatag",
2919,telon,n. curtain on stage used as background or scenery; cf. lona,
2920,téma,"n. theme, issue, topic",
2921,témbong,n. crazy or idiot,
2922,tépángan,"n. bravery, gallantry",
2923,térak,"n. dance, a dance step",https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/T/TERAC.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL1QvVEVSQUMubXAzIiwiaWF0IjoxNzU0ODM5MzYyLCJleHAiOjIxMzMyNzEzNjJ9.apdwjdiKurborFKC-5XolPFWmUvyEDnozgZCZz824H4
2924,terno,"n. a formal suit of Filipino dress, a set of jewelry",
2925,tesóro,"var. tusureru n. treasure, valuable",
2926,testaméntu,"n. testament, or a will",
2927,testígu,"n. witness, or testifier; syn. saksi",
2928,testimónya,"n. testimony, affidavit",
